Protein,logFC,AveExpr,t,P.Value,adj.P.Val,B
E7EX59,1.1048933077011478,-3.192765313719204,1.713901489050004,0.10625979260697582,0.9709452219668305,-4.571111122346276
A0A0G2JM25,-1.168964778540297,-7.190354849694889,-1.6920368721489223,0.1104295120290172,0.9709452219668305,-4.571949596366717
Q9BVM2,-1.7073519320821475,-5.686571260058332,-1.6853518562061458,0.11173238933007447,0.9709452219668305,-4.572205123756623
E7EX60,-0.7948684760488118,1.4297610281575328,-1.676684439356456,0.11344142211309079,0.9709452219668305,-4.572535831740553
C9K029,1.543313255368635,-5.998208439692826,1.6686327002216148,0.11504925508833024,0.9709452219668305,-4.572842437947
K7ENM7,-1.1582435282856844,-2.0795643822156222,-1.6651400319611873,0.11575279257678159,0.9709452219668305,-4.57297525185839
A0A804HJQ3,-1.1676416536125704,-0.6195422400783732,-1.6585798089031303,0.11708427004723877,0.9709452219668305,-4.573224407856779
A0A7P0TAP4,-2.3016203367013937,-3.373915329470274,-1.645320830795417,0.11981566125736597,0.9709452219668305,-4.5737267434063025
F8W9L4,-0.8617851307728895,1.24229482067115,-1.6412324218035668,0.12066886164793739,0.9709452219668305,-4.573881299723717
A0A2R8YFV2,-1.3017817313368787,-3.40425942183948,-1.623306932295104,0.12447152128369021,0.9709452219668305,-4.574557020475787
H0YN14,-1.1060621189907858,-3.0860290836697266,-1.6127004090186667,0.12676951952068563,0.9709452219668305,-4.574955339115529
A0A0A0MS00,-1.0058861302640996,0.39177893021774685,-1.595274119037814,0.13062373928959575,0.9709452219668305,-4.575607272152917
Q86VF2,-1.235612622632705,-0.9004377875039566,-1.5192086623177528,0.148633035145121,0.9709452219668305,-4.578414440302828
P08729,-0.7322731276058043,3.6690521953759148,-1.507646771407825,0.15154516122665293,0.9709452219668305,-4.578835326547539
Q96HY7,-0.8203582172502817,-1.5871275308899127,-1.497076300320424,0.15424916593984875,0.9709452219668305,-4.579218714152242
Q14116,0.9112485223321755,-0.49915910596134827,1.4954463084086291,0.15466969060910457,0.9709452219668305,-4.579277712326146
P20309,-0.6831389803226713,2.0081201665165165,-1.477826064068061,0.15927684222798233,0.9709452219668305,-4.579913387607093
K7EJR2,-0.8046148798507318,-3.9280687452328182,-1.4727847834404582,0.1606157661305414,0.9709452219668305,-4.580094544597702
A0A8I5KYV1,-1.0445650769696253,-2.776640143997187,-1.4591499759601463,0.1642838777897478,0.9709452219668305,-4.580582887380173
H3BMD0,-1.0482628666828684,0.7279025407287155,-1.4528112031000728,0.16601261237679527,0.9709452219668305,-4.580809101069496
A0A2R8Y6J6,-1.7536614262453671,-3.5024122716247765,-1.4476991272317623,0.1674177129419159,0.9709452219668305,-4.580991155940383
Q6UXC1,-1.1323325931460952,-0.8580499900317736,-1.4468916826438563,0.16764054074921503,0.9709452219668305,-4.581019879917106
A0A0A0MSV6,-0.6639861333190985,0.001828383835187323,-1.4456560628204824,0.16798200393880222,0.9709452219668305,-4.581063819176526
O60658,-0.6724513922514355,-1.98664565966836,-1.4358034646216868,0.1707253155536895,0.9709452219668305,-4.581413460485507
Q13033,-1.2183849356667333,-4.311618625886016,-1.435021504677608,0.17094461009221726,0.9709452219668305,-4.581441154810671
Q8NE73,-1.7176675551734721,1.040240008385235,-1.4269736512631108,0.17321504548568484,0.9709452219668305,-4.581725705796038
O75145,-0.6904108752761107,0.24048992342784897,-1.4256353636517263,0.17359498804967477,0.9709452219668305,-4.581772939563585
Q9NP86,-0.7978552931703304,-1.7726333099687765,-1.4253792859958105,0.173667766866459,0.9709452219668305,-4.581781974854366
A0A7P0T8J3,-0.770198144500782,-1.452296729594287,-1.4194366826289528,0.1753637287710358,0.9709452219668305,-4.581991400182695
Q8TCJ0,-0.7483114088523322,-2.7751633211596745,-1.4155109966491073,0.17649150358597876,0.9709452219668305,-4.582129482589579
C9JZR2,-1.1904322551349023,-1.1286628062794963,-1.413378431803442,0.17710663184278883,0.9709452219668305,-4.5822044050741155
E7EVW7,-0.7760261127239672,1.8066542004113617,-1.3991062561308165,0.18126861058388652,0.9709452219668305,-4.582704204430157
Q9BY12,-1.0537514847914824,-2.5581031662806195,-1.3979920476188574,0.18159685778684787,0.9709452219668305,-4.582743103604062
F8VU39,-1.1638025956783467,-3.378556544462435,-1.3967160164843377,0.1819733726528884,0.9709452219668305,-4.582787630911708
Q8N3J3,0.6526235940919909,-1.6298589535873018,1.3906507823288452,0.18377172191578084,0.9709452219668305,-4.582998964549084
Q3BBV0,1.1270682269297136,-5.652348834345006,1.3802340282044836,0.1868939909387618,0.9709452219668305,-4.583360701351277
H7C5N9,-1.1017840316198826,-4.284584224478676,-1.3794572141234007,0.18712854312683788,0.9709452219668305,-4.583387615155521
P05164,-1.3361052619446694,-2.0924599730288542,-1.3755301989839268,0.18831792477371456,0.9709452219668305,-4.5835235391001135
H3BUW0,-1.2839284018538921,-0.7269663853929249,-1.374425991271201,0.18865345851093454,0.9709452219668305,-4.583561718441115
Q9H2M9,0.7774148465288926,-2.7095851008089267,1.3734927751141432,0.18893741052570687,0.9709452219668305,-4.583593971784618
B4DHQ6,-0.6811091527697094,-1.0775683621099001,-1.3715247189239363,0.18953736974560254,0.9709452219668305,-4.583661949370645
H3BUE9,-1.3994716334172626,-2.1596581392345167,-1.360623815048366,0.19288844558885185,0.9709452219668305,-4.584037449290463
A0A6Q8PGM3,-1.0257146254267178,-1.9784376919178825,-1.3547394121923728,0.19471715385712704,0.9709452219668305,-4.584239421868876
